 6125| 14259| 56| 63|  7|28483          |250603
 6125| 14259| 56| 63|  7|28484          |250603
 6125| 14259| 56| 63|  7|28485          |250603
 6125| 14259| 56| 63|  7|28486          |250603
 6125| 14259| 56| 63|  7|28487          |250603
 6125| 14259| 56| 68|  7|28489          |250603
 6125| 14259| 56| 63|  7|28490          |250603
 6125| 14259| 56| 63|  7|28491          |250603
 6125| 14259| 56| 63|  7|28492          |250603
 6125| 14259| 56| 63|  7|28493          |250603
 6125| 14259| 56| 68|  7|28494          |250603
 6125| 14259| 56| 68|  7|28495          |250603
 6125| 14259| 56| 63|  7|28496          |250603
 6125| 14259| 56| 63|  7|28497          |250603
 6125| 14259| 56| 63|  7|28498          |250603
 6125| 14259| 56| 63|  7|28499          |250603
 6125| 14259| 56| 63|  7|28500          |250603
 6121| 14308|501| 64| 51|500032456      |250603
 5305| 24279| 63| 76| 49|9211872        |250603
 6122| 24279| 63| 76| 49|9211885        |250603
 6116| 24279| 63| 76| 49|9211904        |250603
  353| 24279| 63| 76| 49|9211926        |250603
 5039| 24279| 63| 76| 49|9211933        |250603
 6116| 24279| 63| 76| 49|9212006        |250603
 5039| 24279| 63| 76| 49|9212016        |250603
  353| 24279| 63| 76| 49|9212024        |250603
  238| 24279| 63| 76| 49|9211967        |250603
 6122| 24279| 63| 76| 49|9211983        |250603
   50| 34217| 40| 73|108|00240968       |250603
   50| 34217| 40| 73|100|00240976       |250603
  149| 34217| 40| 73|100|00240982       |250603
   50| 34217| 40| 73| 44|00241078       |250603
  149| 34217| 40| 73| 44|00241084       |250603
   50| 34217| 40| 73| 52|00241108       |250603
  149| 34217| 40| 73| 52|00241112       |250603
   50| 34217| 40| 73|108|00241266       |250603
   50| 34217| 40| 73| 52|00241268       |250603
  149| 34217| 40| 73|108|00241269       |250603
  149| 34217| 40| 73| 44|00241270       |250603
  149| 34217| 39| 69| 27|00241279       |250603
   50| 34217| 40| 73| 52|00241284       |250603
  149| 34217| 39| 69| 27|00241443       |250603
   50| 34217| 40| 72|113|00241447       |250603
  149| 34217| 40| 72|113|00241449       |250603
   50| 34217| 40| 72|100|00241465       |250603
   50| 34217| 40| 72|112|00241475       |250603
  149| 34217| 40| 72|112|00241477       |250603
   50| 34217| 40| 72| 78|00241490       |250603
  149| 34217| 40| 72| 78|00241492       |250603
  149| 34217| 40| 73| 44|00241282       |250603
  149| 34217| 40| 72| 78|00241283       |250603
